"crop_genus","crop_specie","crop_common_name","crop_group","crop_subgroup","max_rooting_depth","depletion_fraction","is_avg_depth","initial_kc","mid_kc","end_kc","max_height","is_avg_kc","is_avg_nutrient","nutrient_credits","nutrient_notes","refuse","energy","protein","lipid","vitc","vita_rae","folate","ca","fe","zn","k","cu","na","ph","thiamin","riboflavin","niacin","vitb6","mg","mn","vitb12","percentrefuse","fl","se","vite","pantothenic","vitk"
"Anacardium","occidentale     ","Cashew nuts","Fruit and nuts","Nuts",1.6,0.433333333,TRUE,0.433333333,1.033333333,0.584533333,"",TRUE,FALSE,"","","","553","18.22","43.85","0.5","0","25","37","6.68","5.78","660","2.195","12","593","0.423","0.058","1.062","0.417","292","1.655","0","28","","","","",""
"Anno","reticulate     ","Custard apple","Fruit and nuts","Tropical and subtropical fruits",0.97,0.5,TRUE,0.62,0.85,0.78,"",TRUE,FALSE,"","","","101","1.7","0.6","19.2","2","","30","0.71","","382","","4","21","0.08","0.1","0.5","0.221","18","","0","42","","","","",""
"Artocarpus","altilis     ","Breadfruit","Fruit and nuts","Tropical and subtropical fruits",0.97,0.5,TRUE,0.62,0.85,0.78,"",TRUE,FALSE,"","","","103","1.07","0.23","29","0","14","17","0.54","0.12","490","0.084","2","30","0.11","0.03","0.9","0.1","25","0.06","0","22","","","","",""
"Bertholletia","excelsa     ","Brazil nut","Fruit and nuts","Nuts",1.6,0.433333333,TRUE,0.433333333,1.033333333,0.584533333,"",TRUE,FALSE,"","","","659","14.32","67.1","0.7","0","22","160","2.43","4.06","659","1.743","3","725","0.617","0.035","0.295","0.101","376","1.223","0","49","","","","",""
"Carica","papaya     ","Papaya (pawpaw)","Fruit and nuts","Tropical and subtropical fruits",0.97,0.5,TRUE,0.62,0.85,0.78,"",TRUE,FALSE,"","","","43","0.47","0.26","60.9","47","37","20","0.25","0.08","182","0.045","8","10","0.023","0.027","0.357","0.038","21","0.04","0","38","","","","",""
"Carya","illinoensis     ","Pecan nut","Fruit and nuts","Nuts",1.6,0.433333333,TRUE,0.433333333,1.033333333,0.584533333,"",TRUE,FALSE,"","","","691","9.17","71.97","1.1","3","22","70","2.53","4.53","410","1.2","0","277","0.66","0.13","1.167","0.21","121","4.5","0","47","","","","",""
"Castanea","sativa     ","Chestnut","Fruit and nuts","Nuts",1.6,0.433333333,TRUE,0.433333333,1.033333333,0.584533333,"",TRUE,FALSE,"","","","374","6.39","4.45","15","0","109","67","2.38","0.35","986","0.65","37","175","0.295","0.36","0.85","0.663","74","1.3","0","20","","","","",""
"Citrus","aurantium     ","Orange (bitter)","Fruit and nuts","Citrus fruits",1.5,0.35,TRUE,0.3,0.85,0.45,"",TRUE,FALSE,"","","","47","0.94","0.12","53.2","11","30","40","0.1","0.07","181","0.045","0","14","0.087","0.04","0.282","0.06","10","0.025","0","27","","","","",""
"Citrus","grandis     ","Pomelo","Fruit and nuts","Citrus fruits",1.5,0.35,TRUE,0.3,0.85,0.45,"",TRUE,FALSE,"","","","38","0.76","0.04","61","0","","4","0.11","0.08","216","0.048","1","17","0.034","0.027","0.22","0.036","6","0.017","0","44","","","","",""
"Citrus","limon     ","Lemon","Fruit and nuts","Citrus fruits",1.5,0.35,TRUE,0.3,0.85,0.45,"",TRUE,FALSE,"","","","29","1.1","0.3","53","1","11","26","0.6","0.06","138","0.037","2","16","0.04","0.02","0.1","0.08","8","0.03","0","47","","","","",""
"Citrus","reticulata     ","Clementine","Fruit and nuts","Citrus fruits",1.5,0.35,TRUE,0.3,0.85,0.45,"",TRUE,FALSE,"","","","47","0.85","0.15","48.8","","24","30","0.14","0.06","177","0.043","1","21","0.086","0.03","0.636","0.075","10","0.023","","23","","","","",""
"Citrus","sinensis     ","Orange","Fruit and nuts","Citrus fruits",1.5,0.35,TRUE,0.3,0.85,0.45,"",TRUE,FALSE,"","","","47","0.94","0.12","53.2","11","30","40","0.1","0.07","181","0.045","0","14","0.087","0.04","0.282","0.06","10","0.025","0","27","","","","",""
"Citrus","spp.     ","Lime","Fruit and nuts","Citrus fruits",1.5,0.35,TRUE,0.3,0.85,0.45,"",TRUE,FALSE,"","","","30","0.7","0.2","29.1","2","8","33","0.6","0.11","102","0.065","2","18","0.03","0.02","0.2","0.043","6","0.008","0","16","","","","",""
"Corylus","avellana     ","Hazelnut (filbert)","Fruit and nuts","Nuts",1.6,0.433333333,TRUE,0.433333333,1.033333333,0.584533333,"",TRUE,FALSE,"","","","628","14.95","60.75","6.3","1","113","114","4.7","2.45","680","1.725","0","290","0.643","0.113","1.8","0.563","163","6.175","0","59","","","","",""
"Cydonia","oblonga     ","Quince","Fruit and nuts","Pome fruits and stone fruits",1.2375,0.5,TRUE,0.55,0.7625,0.58885,"",TRUE,FALSE,"","","","57","0.4","0.1","15","2","3","11","0.7","0.04","197","0.13","4","17","0.02","0.03","0.2","0.04","8","","0","39","","","","",""
"Diospyros","kaki     ","Persimmon (kaki)","Fruit and nuts","Tropical and subtropical fruits",0.97,0.5,TRUE,0.62,0.85,0.78,"",TRUE,FALSE,"","","","70","0.58","0.19","7.5","81","8","8","0.15","0.11","161","0.113","1","17","0.03","0.02","0.1","0.1","9","0.355","0","16","","","","",""
"Diospyros","virginiana     ","Persimmon","Fruit and nuts","Tropical and subtropical fruits",0.97,0.5,TRUE,0.62,0.85,0.78,"",TRUE,FALSE,"","","","70","0.58","0.19","7.5","81","8","8","0.15","0.11","161","0.113","1","17","0.03","0.02","0.1","0.1","9","0.355","0","16","","","","",""
"Ficus","carica     ","Fig","Fruit and nuts","Tropical and subtropical fruits",0.97,0.5,TRUE,0.62,0.85,0.78,"",TRUE,FALSE,"","","","74","0.75","0.3","2","7","6","35","0.37","0.15","232","0.07","1","14","0.06","0.05","0.4","0.113","17","0.128","0","1","","","","",""
"Litchi","chinensis     ","Litchi","Fruit and nuts","Tropical and subtropical fruits",0.97,0.5,TRUE,0.62,0.85,0.78,"",TRUE,FALSE,"","","","66","0.83","0.44","71.5","0","14","5","0.31","0.07","171","0.148","1","31","0.011","0.065","0.603","0.1","10","0.055","0","40","","","","",""
"Macadamia","spp. ternifolia    ","Macadamia nut","Fruit and nuts","Nuts",1.6,0.433333333,TRUE,0.433333333,1.033333333,0.584533333,"",TRUE,FALSE,"","","","718","7.91","75.77","1.2","0","11","85","3.69","1.3","368","0.756","5","188","1.195","0.162","2.473","0.275","130","4.131","0","69","","","","",""
"Mangifera","indica     ","Mango","Fruit and nuts","Tropical and subtropical fruits",0.97,0.5,TRUE,0.62,0.85,0.78,"",TRUE,FALSE,"","","","60","0.82","0.38","36.4","54","43","11","0.16","0.09","168","0.111","1","14","0.028","0.038","0.669","0.119","10","0.063","0","29","","","","",""
"Morus","spp.     ","Mulberry (all varieties)","Fruit and nuts","Other fruits",1.171875,0.45,TRUE,0.509375,0.865625,0.6536875,"",TRUE,FALSE,"","","","43","1.44","0.39","36.4","1","6","39","1.85","0.12","194","0.06","10","38","0.029","0.101","0.62","0.05","18","","0","0","","","","",""
"Prunus","domestica     ","Plum","Fruit and nuts","Pome fruits and stone fruits",1.2375,0.5,TRUE,0.55,0.7625,0.58885,"",TRUE,FALSE,"","","","46","0.7","0.28","9.5","17","5","6","0.17","0.1","157","0.057","0","16","0.028","0.026","0.417","0.029","7","0.052","0","6","","","","",""
"Prunus","persica var. nectarina   ","Nectarine","Fruit and nuts","Pome fruits and stone fruits",1.2375,0.5,TRUE,0.55,0.7625,0.58885,"",TRUE,FALSE,"","","","44","1.06","0.32","5.4","17","5","6","0.28","0.17","201","0.086","0","26","0.034","0.027","1.125","0.025","9","0.054","0","9","","","","",""
"Prunus","spp.     ","Cherry (all varieties)","Fruit and nuts","Pome fruits and stone fruits",1.2375,0.5,TRUE,0.55,0.7625,0.58885,"",TRUE,FALSE,"","","","50","1","0.3","10","64","8","16","0.32","0.1","173","0.104","3","15","0.03","0.04","0.4","0.044","9","0.112","0","10","","","","",""
"Psidium","guajava     ","Guava","Fruit and nuts","Tropical and subtropical fruits",0.97,0.5,TRUE,0.62,0.85,0.78,"",TRUE,FALSE,"","","","68","2.55","0.95","228.3","31","49","18","0.26","0.23","417","0.23","2","40","0.067","0.04","1.084","0.11","22","0.15","0","22","","","","",""
"Punica","granatum     ","Pomegranate","Fruit and nuts","Other fruits",1.171875,0.45,TRUE,0.509375,0.865625,0.6536875,"",TRUE,FALSE,"","","","83","1.67","1.17","10.2","0","38","10","0.3","0.35","236","0.158","3","36","0.067","0.053","0.293","0.075","12","0.119","0","44","","","","",""
"Ribes","spp.     ","Currants (all varieties)","Fruit and nuts","Berries",0.575,0.35,TRUE,0.475,0.875,0.775,"",TRUE,FALSE,"","","","63","1.4","0.41","181","12","","55","1.54","0.27","322","0.086","2","59","0.05","0.05","0.3","0.066","24","0.256","0","2","","","","",""
"Ribes","spp.     ","Gooseberry (all varieties)","Fruit and nuts","Berries",0.575,0.35,TRUE,0.475,0.875,0.775,"",TRUE,FALSE,"","","","44","0.88","0.58","27.7","15","6","25","0.31","0.12","198","0.07","1","27","0.04","0.03","0.3","0.08","10","0.144","0","0","","","","",""
"Rubus","spp.     ","Blackberries ","Fruit and nuts","Berries",0.575,0.35,FALSE,0.475,0.875,0.775,"",TRUE,FALSE,"","","","43","1.39","0.49","21","11","25","29","0.62","0.53","162","0.165","1","22","0.02","0.026","0.646","0.03","20","0.646","0","4","","","","",""
"Rubus","spp.     ","Raspberry (all varieties)","Fruit and nuts","Berries",0.575,0.35,TRUE,0.475,0.875,0.775,"",TRUE,FALSE,"","","","52","1.2","0.65","26.2","2","21","25","0.69","0.42","151","0.09","1","29","0.032","0.038","0.598","0.055","22","0.67","0","4","","","","",""
"Vaccinium","spp.     ","Blueberry","Fruit and nuts","Berries",0.575,0.35,TRUE,0.475,0.875,0.775,"",TRUE,FALSE,"","","","57","0.74","0.33","9.7","3","6","6","0.28","0.16","77","0.057","1","12","0.037","0.041","0.418","0.052","6","0.336","0","5","","","","",""
"Vaccinium","spp.     ","Cranberry","Fruit and nuts","Berries",0.575,0.35,TRUE,0.475,0.875,0.775,"",TRUE,FALSE,"","","","46","0.39","0.13","13.3","3","1","8","0.25","0.1","85","0.061","2","13","0.012","0.02","0.101","0.057","6","0.36","0","2","","","","",""
"Cajanus","cajan     ","Pigeon pea","Leguminous crops","Legumes",0.75,0.5,TRUE,0.4,1.05,0.325,"",TRUE,FALSE,"60","","","343","21.7","1.49","0","1","456","130","5.23","2.76","1392","1.057","17","367","0.643","0.187","2.965","0.283","183","1.791","0","0","","","","",""
"Pisum","sativum     ","Pea","Leguminous crops","Legumes",0.75,0.5,TRUE,0.4,1.05,0.325,"",TRUE,FALSE,"60","","","352","23.82","1.16","1.8","7","274","37","4.82","3.55","823","0.815","15","321","0.726","0.215","2.889","0.174","49","1.22","0","0","","","","",""
"Trigonella","foenum-graecum     ","Fenugreek","Leguminous crops","Legumes",0.75,0.5,TRUE,0.4,1.05,0.325,"",TRUE,FALSE,"40","","","323","23","6.41","3","3","57","176","33.53","2.5","770","1.11","67","296","0.322","0.366","1.64","0.6","191","1.228","0","0","","","","",""
"Vicia","faba     ","Broad bean","Leguminous crops","Legumes",0.75,0.5,TRUE,0.4,1.05,0.325,"",TRUE,FALSE,"100","","","333","23.58","0.83","4.5","0","394","143","8.2","2.79","1406","0.958","24","407","0.529","0.219","2.06","0.397","140","1.021","0","0","","","","",""
"Vig","spp.     ","Beans","Leguminous crops","Legumes",0.75,0.5,TRUE,0.4,1.05,0.325,"",TRUE,FALSE,"40","","","333","23.58","0.83","4.5","0","394","143","8.2","2.79","1406","0.958","24","407","0.529","0.219","2.06","0.397","140","1.021","0","0","","","","",""
"Vig","unguiculata     ","Cowpea","Leguminous crops","Legumes",0.75,0.5,TRUE,0.4,1.05,0.325,"",TRUE,FALSE,"60","","","343","23.85","2.07","1.5","2","639","85","9.95","6.11","1375","1.059","58","438","0.68","0.17","2.795","0.361","333","1.544","0","0","","","","",""
"Brassica","napus     ","Rapeseed (colza)","Oilseed crops","Temporary oilseed crops",1.19,0.56,TRUE,0.37,1.14,0.37,"",TRUE,FALSE,"","","","884","0","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","",""
"Brassica","nigra     ","Mustard","Oilseed crops","Temporary oilseed crops",1.19,0.56,TRUE,0.37,1.14,0.37,"",TRUE,FALSE,"","","","27","2.86","0.42","70","151","12","115","1.64","0.25","384","0.165","20","58","0.08","0.11","0.8","0.18","32","","0","7","","","","",""
"Cocos","nucifera     ","Coconut","Oilseed crops","Permanent oilseed crops",1.45,0.65,TRUE,0.65,0.7,0.7,"",TRUE,FALSE,"","","","354","3.33","33.49","3.3","0","26","14","2.43","1.1","356","0.435","20","113","0.066","0.02","0.54","0.054","32","1.5","0","48","","","","",""
"Elaeis","guineensis     ","Oil palm","Oilseed crops","Permanent oilseed crops",1.45,0.65,TRUE,0.65,0.7,0.7,"",TRUE,FALSE,"","","","884","0","100","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","","0","0","","","","",""
"Elaeis","guineensis     ","Palm oil","Oilseed crops","Permanent oilseed crops",1.45,0.65,TRUE,0.65,0.7,0.7,"",TRUE,FALSE,"","","","884","0","100","0","0","0","0","0.01","0","0","0","0","0","0","0","0","0","0","","0","0","","","","",""
"Papaver","somniferum     ","Poppy seed","Oilseed crops","Temporary oilseed crops",1.19,0.56,TRUE,0.37,1.14,0.37,"",TRUE,FALSE,"","","","525","17.99","41.56","1","0","82","1438","9.76","7.9","719","1.627","26","870","0.854","0.1","0.896","0.247","347","6.707","0","0","","","","",""
"Sinapis","alba     ","Mustard","Oilseed crops","Temporary oilseed crops",1.19,0.56,TRUE,0.37,1.14,0.37,"",TRUE,FALSE,"","","","27","2.86","0.42","70","151","12","115","1.64","0.25","384","0.165","20","58","0.08","0.11","0.8","0.18","32","","0","7","","","","",""
"Cannabis","sativa ssp. indica   ","Hemp ","Other crops","Fibre crops",1.116666667,0.65,TRUE,0.35,0.95,0.483333333,"",TRUE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Corchorus","spp.     ","Jute","Other crops","Fibre crops",1.116666667,0.65,TRUE,0.35,0.95,0.483333333,"",TRUE,FALSE,"","","","34","4.65","0.25","37","278","123","208","4.76","0.79","559","0.255","8","83","0.133","0.546","1.26","0.6","64","0.123","0","38","","","","",""
"Cymbopogon","citratus     ","Lemon grass","Other crops","Fibre crops",1.116666667,0.65,TRUE,0.35,0.95,0.483333333,"",TRUE,FALSE,"","","","99","1.82","0.49","2.6","0","75","65","8.17","2.23","723","0.266","6","101","0.065","0.135","1.101","0.08","60","5.224","0","35","","","","",""
"Lolium","spp.     ","Ryegrass ","Other crops","Other crops",1.32,0.58,TRUE,0.52,0.94,0.66,"",TRUE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Medicago","sativa     ","Alfalfa for fodder","Other crops","Grasses and other fodder crops",2,0.55,TRUE,0.6,0.85,0.85,"",TRUE,FALSE,"200","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nicotia","tabacum     ","Tobacco","Other crops","Tobacco",1.32,0.58,TRUE,0.52,0.94,0.66,"",TRUE,FALSE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Trifolium","spp.     ","Clover","Other crops","Grasses and other fodder crops",2,0.55,TRUE,0.6,0.85,0.85,"",TRUE,FALSE,"150","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colocasia","esculenta     ","Taro","Potatoes and yams","High starch Root/tuber crops",0.583333333,0.36,TRUE,0.433333333,1.034333333,0.602666667,"",TRUE,FALSE,"","","","112","1.5","0.2","4.5","4","22","43","0.55","0.23","591","0.172","11","84","0.095","0.025","0.6","0.283","33","0.383","0","14","","","","",""
"Dioscorea","spp.     ","Yam","Potatoes and yams","High starch Root/tuber crops",0.583333333,0.36,TRUE,0.433333333,1.034333333,0.602666667,"",TRUE,FALSE,"","","","118","1.53","0.17","17.1","7","23","17","0.54","0.24","816","0.178","9","55","0.112","0.032","0.552","0.293","21","0.397","0","14","","","","",""
"Maranta","arundinacea     ","Arrowroot","Potatoes and yams","High starch Root/tuber crops",0.583333333,0.36,TRUE,0.433333333,1.034333333,0.602666667,"",TRUE,FALSE,"","","","65","4.24","0.2","1.9","1","338","6","2.22","0.63","454","0.121","26","98","0.143","0.059","1.693","0.266","25","0.174","0","15","","","","",""
"Beta","vulgaris     ","Beet","Sugar crops","Sugar crops (root)",0.8,0.5,TRUE,0.4,1.25,0.75,"",TRUE,FALSE,"","","","43","1.61","0.17","4.9","2","109","16","0.8","0.35","325","0.075","78","40","0.031","0.04","0.334","0.067","23","0.329","0","33","","","","",""
"Abelmoschus","esculentus     ","Okra","Vegetables and melons","Fruit-bearing vegetables",1.13,0.42,TRUE,0.54,1.0004,0.75,"",TRUE,FALSE,"","","","33","1.93","0.19","23","36","60","82","0.62","0.58","299","0.109","7","61","0.2","0.06","1","0.215","57","0.788","0","14","","","","",""
"Agaricus","spp.     ","Mushrooms","Vegetables and melons","Mushrooms and truffles",0.720454545,0.375,TRUE,0.643181818,1.016318182,0.854545455,"",TRUE,FALSE,"","","","22","3.09","0.34","2.1","0","17","3","0.5","0.52","318","0.318","5","86","0.081","0.402","3.607","0.104","9","0.047","0.04","3","","","","",""
"Allium","porrum     ","Leek","Vegetables and melons","Root, bulb, or tuberous vegetables",0.525,0.308333333,TRUE,0.725,1.016666667,0.866666667,"",TRUE,FALSE,"","","","61","1.5","0.3","12","83","64","59","2.1","0.12","180","0.12","20","35","0.06","0.03","0.4","0.233","28","0.481","0","56","","","","",""
"Brassica","napus var. napobrassica   ","Rutabaga (swede)","Vegetables and melons","Root, bulb, or tuberous vegetables",0.525,0.308333333,TRUE,0.725,1.016666667,0.866666667,"",TRUE,FALSE,"","","","37","1.08","0.16","25","0","21","43","0.44","0.24","305","0.032","12","53","0.09","0.04","0.7","0.1","20","0.131","0","15","","","","",""
"Brassica","oleracea var. acephala   ","Kale","Vegetables and melons","Leafy or stem vegetables",0.76,0.393333333,TRUE,0.683333333,1.020466667,0.913333333,"",TRUE,FALSE,"","","","49","4.28","0.93","120","500","141","150","1.47","0.56","491","1.499","38","92","0.11","0.13","1","0.271","47","0.659","0","28","","","","",""
"Brassica","oleracea var. gongylodes   ","Kohlrabi","Vegetables and melons","Root, bulb, or tuberous vegetables",0.525,0.308333333,TRUE,0.725,1.016666667,0.866666667,"",TRUE,FALSE,"","","","27","1.7","0.1","62","2","16","24","0.4","0.03","350","0.129","20","46","0.05","0.02","0.4","0.15","19","0.139","0","54","","","","",""
"Brassica","rapa     ","Turnip","Vegetables and melons","Root, bulb, or tuberous vegetables",0.525,0.308333333,TRUE,0.725,1.016666667,0.866666667,"",TRUE,FALSE,"","","","28","0.9","0.1","21","0","15","30","0.3","0.27","191","0.085","67","27","0.04","0.03","0.4","0.09","11","0.134","0","19","","","","",""
"Cichorium","endivia     ","Endive","Vegetables and melons","Leafy or stem vegetables",0.76,0.393333333,TRUE,0.683333333,1.020466667,0.913333333,"",TRUE,FALSE,"","","","17","1.25","0.2","6.5","108","142","52","0.83","0.79","314","0.099","22","28","0.08","0.075","0.4","0.02","15","0.42","0","14","","","","",""
"Cichorium","intybus     ","Chicory","Vegetables and melons","Leafy or stem vegetables",0.76,0.393333333,TRUE,0.683333333,1.020466667,0.913333333,"",TRUE,FALSE,"","","","17","0.9","0.1","2.8","1","37","19","0.24","0.16","211","0.051","2","26","0.062","0.027","0.16","0.042","10","0.1","0","11","","","","",""
"Cucumis","melo     ","Melon ","Vegetables and melons","Fruit-bearing vegetables",1.13,0.42,TRUE,0.54,1.0004,0.75,"0.4",TRUE,FALSE,"","","","34","0.84","0.19","36.7","169","21","9","0.21","0.18","267","0.041","16","15","0.041","0.019","0.734","0.072","12","0.041","0","49","","","","",""
"Cucurbita","spp.     ","Gourd (American)","Vegetables and melons","Fruit-bearing vegetables",1.13,0.42,TRUE,0.54,1.0004,0.75,"",TRUE,FALSE,"","","","26","1","0.1","9","426","16","21","0.8","0.32","340","0.127","1","44","0.05","0.11","0.6","0.061","12","0.125","0","30","","","","",""
"Cucurbita","spp.     ","Pumpkin","Vegetables and melons","Fruit-bearing vegetables",1.13,0.42,TRUE,0.54,1.0004,0.75,"",TRUE,FALSE,"","","","26","1","0.1","9","426","16","21","0.8","0.32","340","0.127","1","44","0.05","0.11","0.6","0.061","12","0.125","0","30","","","","",""
"Cynara","cardunculus     ","Cardoon","Vegetables and melons","Leafy or stem vegetables",0.76,0.393333333,TRUE,0.683333333,1.020466667,0.913333333,"",TRUE,FALSE,"","","","17","0.7","0.1","2","0","68","70","0.7","0.17","400","0.231","170","23","0.02","0.03","0.3","0.116","42","0.256","0","51","","","","",""
"Foeniculum","vulgare     ","Fennel","Vegetables and melons","Leafy or stem vegetables",0.76,0.393333333,TRUE,0.683333333,1.020466667,0.913333333,"",TRUE,FALSE,"","","","31","1.24","0.2","12","48","27","49","0.73","0.2","414","0.066","52","50","0.01","0.032","0.64","0.047","17","0.191","0","28","","","","",""
"Lagenaria","spp.     ","Gourd (African)","Vegetables and melons","Fruit-bearing vegetables",1.13,0.42,TRUE,0.54,1.0004,0.75,"",TRUE,FALSE,"","","","26","1","0.1","9","426","16","21","0.8","0.32","340","0.127","1","44","0.05","0.11","0.6","0.061","12","0.125","0","30","","","","",""
"Lepidium","sativum     ","Cress","Vegetables and melons","Leafy or stem vegetables",0.76,0.393333333,TRUE,0.683333333,1.020466667,0.913333333,"",TRUE,FALSE,"","","","32","2.6","0.7","69","346","80","81","1.3","0.23","606","0.17","14","76","0.08","0.26","1","0.247","38","0.553","0","29","","","","",""
"Rheum","spp.     ","Rhubarb","Vegetables and melons","Leafy or stem vegetables",0.76,0.393333333,TRUE,0.683333333,1.020466667,0.913333333,"",TRUE,FALSE,"","","","21","0.9","0.2","8","5","7","86","0.22","0.1","288","0.021","4","14","0.02","0.03","0.3","0.024","12","0.196","0","25","","","","",""
"Solanum","melongena     ","Eggplant","Vegetables and melons","Fruit-bearing vegetables",1.13,0.42,TRUE,0.54,1.0004,0.75,"",TRUE,FALSE,"","","","25","0.98","0.18","2.2","1","22","9","0.23","0.16","229","0.081","2","24","0.039","0.037","0.649","0.084","14","0.232","0","19","","","","",""
"Tragopogon","porrifolius     ","Salsify","Vegetables and melons","Root, bulb, or tuberous vegetables",0.525,0.308333333,TRUE,0.725,1.016666667,0.866666667,"",TRUE,FALSE,"","","","82","3.3","0.2","8","0","26","60","0.7","0.38","380","0.089","20","75","0.08","0.22","0.5","0.277","23","0.268","0","13","","","","",""
