disease_common_name,disease_sci_name,crop_genus,crop_specie
Vole,Cricetidae,Cucurbita,spp.  
Vole,Cricetidae,Cucurbita,pepo  
Water Deficiency,Water Deficiency,Cucurbita,spp.  
Water Deficiency,Water Deficiency,Cucurbita,pepo  
Watermelon mosaic virus,Watermelon mosaic virus,Cucurbita,spp.  
Zinc Deficiency,Zinc Deficiency,Cucurbita,spp.  
Zinc Deficiency,Zinc Deficiency,Cucurbita,pepo  
Aphid,Aphidoidea family,Daucus,carota ssp. sativa
Boron Deficiency,Boron Deficiency,Daucus,carota ssp. sativa
Botrytis Blight,Botrytis cinerea,Daucus,carota ssp. sativa
Carrot Fly,Chamaepsila rosae,Daucus,carota ssp. sativa
Common Red Spider Mite,Tetranychus urticae,Daucus,carota ssp. sativa
Green Citrus Aphid,Aphis spiraecola,Daucus,carota ssp. sativa
Iron Deficiency,Iron Deficiency,Daucus,carota ssp. sativa
Magnesium Deficiency,Magnesium Deficiency,Daucus,carota ssp. sativa
Manganese Deficiency,Manganese Deficiency,Daucus,carota ssp. sativa
Nematode,Nematoda,Daucus,carota ssp. sativa
Nitrogen Deficiency,Nitrogen Deficiency,Daucus,carota ssp. sativa
Pesticide Burn,Pesticide Burn,Daucus,carota ssp. sativa
Phosphorus Deficiency,Phosphorus Deficiency,Daucus,carota ssp. sativa
Powdery Mildew,Erysiphaceae,Daucus,carota ssp. sativa
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Daucus,carota ssp. sativa
Sclerotium Rot,Athelia rolfsii,Daucus,carota ssp. sativa
Slug,Class Gastropoda,Daucus,carota ssp. sativa
Thrips,Order Thysanoptera,Daucus,carota ssp. sativa
Verticillium Wilt,Verticillium spp.,Daucus,carota ssp. sativa
Vole,Cricetidae,Daucus,carota ssp. sativa
Water Deficiency,Water Deficiency,Daucus,carota ssp. sativa
Zinc Deficiency,Zinc Deficiency,Daucus,carota ssp. sativa
Angular Leaf Spot of Strawberry,Xanthomonas fragariae,Fragaria,spp.  
Aphid,Aphidoidea family,Fragaria,spp.  
Boron Deficiency,Boron Deficiency,Fragaria,spp.  
Botrytis Blight,Botrytis cinerea,Fragaria,spp.  
Common Leaf Spot,Mycosphaerella fragariae,Fragaria,spp.  
Common Red Spider Mite,Tetranychus urticae,Fragaria,spp.  
Crown Rot,Phytophthora cactorum,Fragaria,spp.  
Iron Deficiency,Iron Deficiency,Fragaria,spp.  
Magnesium Deficiency,Magnesium Deficiency,Fragaria,spp.  
Manganese Deficiency,Manganese Deficiency,Fragaria,spp.  
Nematode,Nematoda,Fragaria,spp.  
Nitrogen Deficiency,Nitrogen Deficiency,Fragaria,spp.  
Pesticide Burn,Pesticide Burn,Fragaria,spp.  
Phosphorus Deficiency,Phosphorus Deficiency,Fragaria,spp.  
Powdery Mildew of Strawberry,Podosphaera aphanis,Fragaria,spp.  
Slug,Class Gastropoda,Fragaria,spp.  
Strawberry Blossom Weevil,Anthonomus rubi,Fragaria,spp.  
Strawberry Whitefly,Trialeurodes packardi,Fragaria,spp.  
Thrips,Order Thysanoptera,Fragaria,spp.  
Verticillium Wilt,Verticillium spp.,Fragaria,spp.  
Vole,Cricetidae,Fragaria,spp.  
Water Deficiency,Water Deficiency,Fragaria,spp.  
Zinc Deficiency,Zinc Deficiency,Fragaria,spp.  
Anthracnose of Soybean,Colletotrichum truncatum,Glycine,max  
Aphid,Aphidoidea family,Glycine,max  
Ascochyta Blight,Ascochyta rabiei,Glycine,max  
Bacterial Pustule,Xanthomonas axonopodis,Glycine,max  
Bean Leaf Beetle,Cerotoma trifurcata,Glycine,max  
Bean Leaf Webber,Hedylepta indicata,Glycine,max  
Bean Shoot Borer,Epinotia aporema,Glycine,max  
Bean Yellow Mosaic Virus,BYMV,Glycine,max  
Boron Deficiency,Boron Deficiency,Glycine,max  
Brown Spot of Soybean,Septoria glycines,Glycine,max  
Cabbage Moth,Mamestra brassicae,Glycine,max  
Calcium Deficiency,Calcium Deficiency,Glycine,max  
Castor Semilooper,Ophiusa melicerta,Glycine,max  
Cercospora Leaf Spot of Gram,Cercospora canescens,Glycine,max  
Charcoal Rot of Soybean,Macrophomina phaseolina,Glycine,max  
Common Red Spider Mite,Tetranychus urticae,Glycine,max  
Cottony Cushion Scale,Icerya purchasi,Glycine,max  
Cucumber Beetle,Diabrotica spp.,Glycine,max  
Cyst Nematode,Heterodera glycines,Glycine,max  
Fall Armyworm,Spodoptera frugiperda,Glycine,max  
Fertilizer or Pesticide Burn,Fertilizer Burn,Glycine,max  
Frogeye Leaf Spot,Cercospora sojina,Glycine,max  
Helicoverpa on Soybean,Helicoverpa armigera,Glycine,max  
Iron Deficiency,Iron Deficiency,Glycine,max  
Leaf Miner Flies,Agromyzidae spp.,Glycine,max  
Magnesium Deficiency,Magnesium Deficiency,Glycine,max  
Manganese Deficiency,Manganese Deficiency,Glycine,max  
Nitrogen Deficiency,Nitrogen Deficiency,Glycine,max  
Northern Stem Canker,Diaporthe phaseolorum var. caulivora,Glycine,max  
Pea Pod Borer,Etiella zinckenella,Glycine,max  
Pesticide Burn,Pesticide Burn,Glycine,max  
Phosphorus Deficiency,Phosphorus Deficiency,Glycine,max  
Phyllosticta Leaf Spot,Phyllosticta arachidis-hypogaea,Glycine,max  
Potassium Deficiency,Potassium Deficiency,Glycine,max  
Powdery Mildew of Soybean,Erysiphe diffusa,Glycine,max  
Purple Seed Stain of Soybean,Cercospora kikuchii,Glycine,max  
Rhizoctonia Aerial Blight,Rhizoctonia solani,Glycine,max  
Root-Knot Nematode in Soybean,Meloidogyne ethiopica,Glycine,max  
Rust of Soybean,Phakopsora pachyrhizi,Glycine,max  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Glycine,max  
Sclerotium Rot,Athelia rolfsii,Glycine,max  
Silverleaf Whitefly,Bemisia tabaci,Glycine,max  
Slug,Class Gastropoda,Glycine,max  
Southern Armyworm,Spodoptera eridania,Glycine,max  
Soybean Looper,Pseudoplusia includens,Glycine,max  
Soybean Mosaic Virus,SMV,Glycine,max  
Soybean Stalk Weevil,Sternechus subsignatus,Glycine,max  
Stem and Root Rot of Soybean,Phytophthora sojae,Glycine,max  
Stink Bugs on Soybean,Acrosternum hilare,Glycine,max  
Sudden Death Syndrome,Fusarium virguliforme,Glycine,max  
Target Spot of Soybean,Corynespora cassiicola,Glycine,max  
Tobacco Caterpillar,Spodoptera litura,Glycine,max  
Variegated Grasshopper,Zonocerus variegatus,Glycine,max  
Velvetbean Caterpillar,Anticarsia gemmatalis,Glycine,max  
Water Deficiency,Water Deficiency,Glycine,max  
Zinc Deficiency,Zinc Deficiency,Glycine,max  
Alternaria Leaf Spot of Cotton,Alternaria macrospora,Gossypium,spp.  
Anthracnose of Cotton,Glomerella gossypii,Gossypium,spp.  
Aphid,Aphidoidea family,Gossypium,spp.  
Bacterial Blight of Cotton,Xanthomonas citri subsp. malvacearum,Gossypium,spp.  
Black Cutworm,Agrotis ipsilon,Gossypium,spp.  
Boll Weevil,Anthonomus grandis,Gossypium,spp.  
Boron Deficiency,Boron Deficiency,Gossypium,spp.  
Cercospora Leaf Spot of Cotton,Mycosphaerella gossypina,Gossypium,spp.  
Common Red Spider Mite,Tetranychus urticae,Gossypium,spp.  
Corn Earworm,Helicoverpa zea,Gossypium,spp.  
Cotton Bollworm,Helicoverpa armigera,Gossypium,spp.  
Cotton Leaf Hopper,Amrasca devastans,Gossypium,spp.  
Fall Armyworm,Spodoptera frugiperda,Gossypium,spp.  
Fertilizer or Pesticide Burn,Fertilizer Burn,Gossypium,spp.  
Fusarium Wilt,Fusarium oxysporum,Gossypium,spp.  
Grey Mildew of Cotton,Mycosphaerella areola,Gossypium,spp.  
Iron Deficiency,Iron Deficiency,Gossypium,spp.  
Leaf Miner Flies,Agromyzidae spp.,Gossypium,spp.  
Magnesium Deficiency,Magnesium Deficiency,Gossypium,spp.  
Manganese Deficiency,Manganese Deficiency,Gossypium,spp.  
Mealybug,Pseudococcidae,Gossypium,spp.  
Nitrogen Deficiency,Nitrogen Deficiency,Gossypium,spp.  
Pesticide Burn,Pesticide Burn,Gossypium,spp.  
Phosphorus Deficiency,Phosphorus Deficiency,Gossypium,spp.  
Pink Bollworm,Pectinophora gossypiella,Gossypium,spp.  
Potassium Deficiency,Potassium Deficiency,Gossypium,spp.  
Powdery Mildew,Erysiphaceae,Gossypium,spp.  
Root Rot of Cotton,Macrophomina phaseolina,Gossypium,spp.  
Root-Knot Nematode,Meloidogyne spp.,Gossypium,spp.  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Gossypium,spp.  
Silverleaf Whitefly,Bemisia tabaci,Gossypium,spp.  
Soreshin,Rhizoctonia solani,Gossypium,spp.  
Stink Bug on Cotton,Euschistus servus,Gossypium,spp.  
Thrips,Order Thysanoptera,Gossypium,spp.  
Tobacco Caterpillar,Spodoptera litura,Gossypium,spp.  
Tobacco Streak Virus,Tobacco Streak Virus,Gossypium,spp.  
Velvetbean Caterpillar,Anticarsia gemmatalis,Gossypium,spp.  
Water Deficiency,Water Deficiency,Gossypium,spp.  
Western Flower Thrips,Frankliniella occidentalis,Gossypium,spp.  
Zinc Deficiency,Zinc Deficiency,Gossypium,spp.  
Aphid,Aphidoidea family,Hordeum,vulgare  
Boron Deficiency in Cereals,Boron Deficiency,Hordeum,vulgare  
Brown Rust of Barley,Puccinia hordei,Hordeum,vulgare  
Calcium Deficiency in Wheat,Calcium Deficiency,Hordeum,vulgare  
Cereal Leaf Beetle,Oulema melanopus,Hordeum,vulgare  
Common Bunt of Wheat,Tilletia caries,Hordeum,vulgare  
Crown Rust of Grasses,Puccinia coronata,Hordeum,vulgare  
Eyespot,Oculimacula yallundae,Hordeum,vulgare  
Fusarium Head Blight,Fusarium graminearum,Hordeum,vulgare  
Leaf and Glume Blotch of Wheat,Parastagonospora nodorum,Hordeum,vulgare  
Leaf Stripe of Barley,Pyrenophora graminea,Hordeum,vulgare  
Magnesium Deficiency,Magnesium Deficiency,Hordeum,vulgare  
Manganese Deficiency,Manganese Deficiency,Hordeum,vulgare  
Net Blotch,Pyrenophora teres,Hordeum,vulgare  
Pesticide Burn,Pesticide Burn,Hordeum,vulgare  
Physiological Leaf Spot,PLS,Hordeum,vulgare  
Potassium Deficiency in Cereals,Potassium Deficiency,Hordeum,vulgare  
Powdery Mildew of Cereals,Blumeria graminis,Hordeum,vulgare  
Ramularia Leaf Spot,Ramularia collo-cygni,Hordeum,vulgare  
Rhynchosporium,Rhynchosporium secalis,Hordeum,vulgare  
Sulfur Deficiency in Wheat,Sulfur Deficiency,Hordeum,vulgare  
Violet Stem Borer,Sesamia inferens,Hordeum,vulgare  
Water Deficiency,Water Deficiency,Hordeum,vulgare  
Zinc Deficiency in Wheat,Zinc Deficiency,Hordeum,vulgare  
African Mole Cricket,Gryllotalpa africana,Lactuca,sativa var. capitata
Aphid,Aphidoidea family,Lactuca,sativa var. capitata
Boron Deficiency,Boron Deficiency,Lactuca,sativa var. capitata
Botrytis Blight in Lettuce,Botrytis cinerea,Lactuca,sativa var. capitata
Bottom Rot,Thanatephorus cucumeris,Lactuca,sativa var. capitata
Bright Line Brown Eye,Lacanobia oleracea,Lactuca,sativa var. capitata
Cabbage Moth,Mamestra brassicae,Lactuca,sativa var. capitata
Calcium Deficiency,Calcium Deficiency,Lactuca,sativa var. capitata
Common Red Spider Mite,Tetranychus urticae,Lactuca,sativa var. capitata
Downy Mildew,Peronosporales,Lactuca,sativa var. capitata
Fall Armyworm,Spodoptera frugiperda,Lactuca,sativa var. capitata
Flea Beetle,Psylliodes,Lactuca,sativa var. capitata
Green Citrus Aphid,Aphis spiraecola,Lactuca,sativa var. capitata
Iron Deficiency,Iron Deficiency,Lactuca,sativa var. capitata
Leaf Miner Flies,Agromyzidae spp.,Lactuca,sativa var. capitata
Lettuce Big-Vein Disease,Olpidium brassicae,Lactuca,sativa var. capitata
Magnesium Deficiency,Magnesium Deficiency,Lactuca,sativa var. capitata
Manganese Deficiency,Manganese Deficiency,Lactuca,sativa var. capitata
Nematode,Nematoda,Lactuca,sativa var. capitata
Nitrogen Deficiency,Nitrogen Deficiency,Lactuca,sativa var. capitata
Onion Maggots,Delia platura,Lactuca,sativa var. capitata
Pesticide Burn,Pesticide Burn,Lactuca,sativa var. capitata
Phosphorus Deficiency,Phosphorus Deficiency,Lactuca,sativa var. capitata
Potassium Deficiency,Potassium Deficiency,Lactuca,sativa var. capitata
Powdery Mildew,Erysiphaceae,Lactuca,sativa var. capitata
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Lactuca,sativa var. capitata
Silverleaf Whitefly,Bemisia tabaci,Lactuca,sativa var. capitata
Slug,Class Gastropoda,Lactuca,sativa var. capitata
Thrips,Order Thysanoptera,Lactuca,sativa var. capitata
Variegated Grasshopper,Zonocerus variegatus,Lactuca,sativa var. capitata
Verticillium Wilt,Verticillium spp.,Lactuca,sativa var. capitata
Vole,Cricetidae,Lactuca,sativa var. capitata
Water Deficiency,Water Deficiency,Lactuca,sativa var. capitata
Zinc Deficiency,Zinc Deficiency,Lactuca,sativa var. capitata
Anthracnose of Lentil,Colletotrichum truncatum,Lens,culinaris  
Aphid,Aphidoidea family,Lens,culinaris  
Ascochyta Blight of Lentil,Didymella fabae,Lens,culinaris  
Bean Bollworm,Helicoverpa armigera,Lens,culinaris  
Boron Deficiency,Boron Deficiency,Lens,culinaris  
Botrytis Blight,Botrytis cinerea,Lens,culinaris  
Fusarium Wilt,Fusarium oxysporum,Lens,culinaris  
Lentil Rust,Uromyces viciae-fabae,Lens,culinaris  
Magnesium Deficiency,Magnesium Deficiency,Lens,culinaris  
Manganese Deficiency,Manganese Deficiency,Lens,culinaris  
Mealybug,Pseudococcidae,Lens,culinaris  
Pea Pod Borer,Etiella zinckenella,Lens,culinaris  
Pesticide Burn,Pesticide Burn,Lens,culinaris  
Phosphorus Deficiency,Phosphorus Deficiency,Lens,culinaris  
Powdery Mildew,Erysiphaceae,Lens,culinaris  
Root Rot of Lentil,Rhizoctonia solani,Lens,culinaris  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Lens,culinaris  
Sclerotium Rot,Athelia rolfsii,Lens,culinaris  
Zinc Deficiency,Zinc Deficiency,Lens,culinaris  
African Mole Cricket,Gryllotalpa africana,Lopmoea,batatas  
Aphid,Aphidoidea family,Lopmoea,batatas  
Boron Deficiency,Boron Deficiency,Lopmoea,batatas  
Calcium Deficiency in Potato,Calcium Deficiency,Lopmoea,batatas  
Iron Deficiency in Potato,Iron Deficiency,Lopmoea,batatas  
Magnesium Deficiency in Potato,Magnesium Deficiency,Lopmoea,batatas  
Manganese Deficiency,Manganese Deficiency,Lopmoea,batatas  
Nitrogen Deficiency in Potato,Nitrogen Deficiency,Lopmoea,batatas  
Pesticide Burn,Pesticide Burn,Lopmoea,batatas  
Phosphorus Deficiency in Potato,Phosphorus Deficiency,Lopmoea,batatas  
Potassium Deficiency in Potato,Potassium Deficiency,Lopmoea,batatas  
Sclerotium Rot,Athelia rolfsii,Lopmoea,batatas  
Slug,Class Gastropoda,Lopmoea,batatas  
Thrips,Order Thysanoptera,Lopmoea,batatas  
Variegated Grasshopper,Zonocerus variegatus,Lopmoea,batatas  
Water Deficiency,Water Deficiency,Lopmoea,batatas  
Zinc Deficiency,Zinc Deficiency,Lopmoea,batatas  
Abiotic Sunburn,Abiotic Sunburn,Lycopersicon,esculentum  
African Mole Cricket,Gryllotalpa africana,Lycopersicon,esculentum  
Aphid,Aphidoidea family,Lycopersicon,esculentum  
Bacterial Canker of Tomato,Clavibacter michiganensis subs. michiganensis,Lycopersicon,esculentum  
Bacterial Speck of Tomato,Pseudomonas syringae pv. tomato,Lycopersicon,esculentum  
Bacterial Spot,Xanthomonas spp.,Lycopersicon,esculentum  
Bacterial Wilt,Ralstonia solanacearum,Lycopersicon,esculentum  
Black Cutworm,Agrotis ipsilon,Lycopersicon,esculentum  
Blossom End Rot,blossom end rot,Lycopersicon,esculentum  
Boron Deficiency,Boron Deficiency,Lycopersicon,esculentum  
Botrytis Blight,Botrytis cinerea,Lycopersicon,esculentum  
Bright Line Brown Eye,Lacanobia oleracea,Lycopersicon,esculentum  
Cabbage Moth,Mamestra brassicae,Lycopersicon,esculentum  
Calcium Deficiency in Tomato,Calcium Deficiency,Lycopersicon,esculentum  
Castor Semilooper,Ophiusa melicerta,Lycopersicon,esculentum  
Common Red Spider Mite,Tetranychus urticae,Lycopersicon,esculentum  
Didymella Stem Rot of Tomato,Didymella lycopersici,Lycopersicon,esculentum  
Early Blight of Tomato,Alternaria solani,Lycopersicon,esculentum  
Flea Beetle,Psylliodes,Lycopersicon,esculentum  
Fusarium Wilt,Fusarium oxysporum,Lycopersicon,esculentum  
Green Leafhopper,Empoasca decipiens,Lycopersicon,esculentum  
Greenhouse Whitefly,Trialeurodes vaporariorum,Lycopersicon,esculentum  
Iron Deficiency in Tomato,Iron Deficiency,Lycopersicon,esculentum  
Leaf Miner Flies,Agromyzidae spp.,Lycopersicon,esculentum  
Leaf Mold of Tomato,Mycovellosiella fulva,Lycopersicon,esculentum  
Magnesium Deficiency in Tomato,Magnesium Deficiency,Lycopersicon,esculentum  
Manganese Deficiency,Manganese Deficiency,Lycopersicon,esculentum  
Mealybug,Pseudococcidae,Lycopersicon,esculentum  
Mediterranean Fruit Fly,Ceratitis capitata,Lycopersicon,esculentum  
Melon Fruit Fly,Zeugodacus cucurbitae,Lycopersicon,esculentum  
Nematode,Nematoda,Lycopersicon,esculentum  
Nitrogen Deficiency in Tomato,Nitrogen Deficiency,Lycopersicon,esculentum  
Pesticide Burn,Pesticide Burn,Lycopersicon,esculentum  
Phosphorus Deficiency in Tomato,Phosphorus Deficiency,Lycopersicon,esculentum  
Potassium Deficiency in Tomato,Potassium Deficiency,Lycopersicon,esculentum  
Powdery Mildew,Erysiphaceae,Lycopersicon,esculentum  
Root-Knot Nematode,Meloidogyne spp.,Lycopersicon,esculentum  
Sclerotinia Stem Rot,Sclerotinia sclerotiorum,Lycopersicon,esculentum  
Sclerotium Rot,Athelia rolfsii,Lycopersicon,esculentum  
Septoria Leaf Spot,Septoria lycopersici,Lycopersicon,esculentum  
Silverleaf Whitefly,Bemisia tabaci,Lycopersicon,esculentum  
Thrips,Order Thysanoptera,Lycopersicon,esculentum  
Tomato Fruit Borer,Helicoverpa armigera,Lycopersicon,esculentum  
Tomato Mosaic Virus,ToMV,Lycopersicon,esculentum  
Tomato Spotted Wilt Virus,TSWV,Lycopersicon,esculentum  
Tomato Yellow Leaf Curl Virus,TYLCV,Lycopersicon,esculentum  
Tuta Absoluta,Tuta Absoluta,Lycopersicon,esculentum  
Variegated Grasshopper,Zonocerus variegatus,Lycopersicon,esculentum  
Verticillium Wilt,Verticillium spp.,Lycopersicon,esculentum  
Vole,Cricetidae,Lycopersicon,esculentum  
Water Deficiency,Water Deficiency,Lycopersicon,esculentum  
Zinc Deficiency,Zinc Deficiency,Lycopersicon,esculentum  
Tomato Late Blight,Phytophthora infestans,Lycopersicon esculentum,esculentum  
Anthracnose of Apple,Neofabraea malicorticis,Malus,sylvestris  
Aphid,Aphidoidea family,Malus,sylvestris  
Apple Leaf Miner,Lyonetia clerkella,Malus,sylvestris  
Apple Mosaic Virus,APMV,Malus,sylvestris  
Apple Scab,Venturia inaequalis,Malus,sylvestris  
Bacterial Canker,Pseudomonas syringae pv. syringae,Malus,sylvestris  
Bitter Rot on Apple,Glomerella cingulata,Malus,sylvestris  
Boron Deficiency,Boron Deficiency,Malus,sylvestris  
Botryosphaeria Dieback,Botryosphaeriaceae,Malus,sylvestris  
Botrytis Blight,Botrytis cinerea,Malus,sylvestris  
Brown Rot,Monilinia laxa,Malus,sylvestris  
Brown Rot of Fruits,Monilinia fructigena,Malus,sylvestris  
Calcium Deficiency,Calcium Deficiency,Malus,sylvestris  
Codling Moth,Cydia pomonella,Malus,sylvestris  
Curculio Weevil,Otiorhynchus cribricollis,Malus,sylvestris  
Dead Arm,Eutypa lata,Malus,sylvestris  
Ermine Moth,Yponomeutidae,Malus,sylvestris  
European Red Mite,Panonychus ulmi,Malus,sylvestris  
Fire Blight,Erwinia amylovora,Malus,sylvestris  
Fruit Tree Bark Beetle,Scolytus mali,Malus,sylvestris  
Fruit Tree Canker,Neonectria ditissima,Malus,sylvestris  
Fruit Tree Leafroller,Archips argyrospila,Malus,sylvestris  
Gall Mite,Eriophyidae,Malus,sylvestris  
Grape Tortrix Moth,Argyrotaenia ljungiana,Malus,sylvestris  
Green Citrus Aphid,Aphis spiraecola,Malus,sylvestris  
Iron Deficiency,Iron Deficiency,Malus,sylvestris  
Magnesium Deficiency,Magnesium Deficiency,Malus,sylvestris  
Manganese Deficiency,Manganese Deficiency,Malus,sylvestris  
Mediterranean Fruit Fly,Ceratitis capitata,Malus,sylvestris  
Nematode,Nematoda,Malus,sylvestris  
Oleander Scale,Aspidiotus nerii,Malus,sylvestris  
Olive Scale,Parlatoria oleae,Malus,sylvestris  
Oriental Fruit Moth,Grapholita molesta,Malus,sylvestris  
Pesticide Burn,Pesticide Burn,Malus,sylvestris  
Phosphorus Deficiency,Phosphorus Deficiency,Malus,sylvestris  
Phytophthora Root Rot,Phytophthora cactorum,Malus,sylvestris  
Potassium Deficiency,Potassium Deficiency,Malus,sylvestris  
Powdery Mildew,Erysiphaceae,Malus,sylvestris  
Silver Leaf,Chondrostereum purpureum,Malus,sylvestris  
Thrips,Order Thysanoptera,Malus,sylvestris  
Vole,Cricetidae,Malus,sylvestris  
Water Deficiency,Water Deficiency,Malus,sylvestris  
Western Plant Bug,Lygus hesperus,Malus,sylvestris  
Winter Moth,Operophtera brumata,Malus,sylvestris  
Woolly Aphid,Eriosoma lanigerum,Malus,sylvestris  
Zinc Deficiency,Zinc Deficiency,Malus,sylvestris  
African Mole Cricket,Gryllotalpa africana,Mangifera,indica  
Algal Leaf Spot,Cephaleuros virescens,Mangifera,indica  
Anthracnose of Papaya and Mango,Colletotrichum gloeosporioides,Mangifera,indica  
Aphid,Aphidoidea family,Mangifera,indica  
Bacterial Black Spot of Mango,Xanthomonas axonopodis pv. mangiferaeindicae,Mangifera,indica  
Bacterial Canker of Mango,Xanthomonas citri pv. mangiferaeindicae,Mangifera,indica  
Banana Scale Insect,Aspidiotus destructor,Mangifera,indica  
Black Citrus Aphid,Toxoptera aurantii,Mangifera,indica  
Boron Deficiency,Boron Deficiency,Mangifera,indica  
Botrytis Blight,Botrytis cinerea,Mangifera,indica  
Cottony Cushion Scale,Icerya purchasi,Mangifera,indica  
Hairy Caterpillars,Euproctis fraterna,Mangifera,indica  
Iron Deficiency,Iron Deficiency,Mangifera,indica  
Magnesium Deficiency,Magnesium Deficiency,Mangifera,indica  
Manganese Deficiency,Manganese Deficiency,Mangifera,indica  
Mango Blister Midge,Procontarinia mangiferae,Mangifera,indica  
Mango Dieback Disease,Botryosphaeria rhodina,Mangifera,indica  
Mango Fruit Borer,Citripestis eutraphera,Mangifera,indica  
Mango Fruit Fly,Ceratitis cosyra,Mangifera,indica  
Mango Gall Midge,Procontarinia pustulata,Mangifera,indica  
Mango Hoppers,Idioscopus spp.,Mangifera,indica  
Mango Nut Weevil,Sternochetus mangiferae,Mangifera,indica  
Mango Seed Borer,Deanolis albizonalis,Mangifera,indica  
Mango Shoot Borer,Chlumetia transversa,Mangifera,indica  
Mango Shoot Psyllid,Apsylla cistellata,Mangifera,indica  
Mango Spider Mite,Oligonychus mangiferus,Mangifera,indica  
Mealybug,Drosicha mangiferae,Mangifera,indica  
Mediterranean Fruit Fly,Ceratitis capitata,Mangifera,indica  
Melon Fruit Fly,Zeugodacus cucurbitae,Mangifera,indica  
Nitrogen Deficiency,Nitrogen Deficiency,Mangifera,indica  
Oleander Scale,Aspidiotus nerii,Mangifera,indica  
Pesticide Burn,Pesticide Burn,Mangifera,indica  
Phoma Blight,Peyronellaea glomerata,Mangifera,indica  
Phosphorus Deficiency,Phosphorus Deficiency,Mangifera,indica  
Powdery Mildew of Mango,Oidium mangiferae,Mangifera,indica  
Sooty Mold,"Capnodium, Fumago, Scorias spp",Mangifera,indica  
Thrips in Mango,Scirtothrips spp.,Mangifera,indica  
Vole,Cricetidae,Mangifera,indica  
Water Deficiency,Water Deficiency,Mangifera,indica  
Zinc Deficiency,Zinc Deficiency,Mangifera,indica  
African Mole Cricket,Gryllotalpa africana,Manihot,esculenta  
Aphid,Aphidoidea family,Manihot,esculenta  
Boron Deficiency,Boron Deficiency,Manihot,esculenta  
Brown leaf spot,Mycosphaerella henningsii,Manihot,esculenta  
Bud Necrosis,Unknown Pathogen,Manihot,esculenta  
Cassava Bacterial Blight,Xanthomonas axonopodis pv. manihotis,Manihot,esculenta  
Cassava Brown Streak Disease,CBSV,Manihot,esculenta  
Cassava Green Spider Mite,Mononychellus tanajoa,Manihot,esculenta  
Cassava Mosaic Disease,ACMV,Manihot,esculenta  
Cassava Phytoplasma Disease,Phytoplasma spp.,Manihot,esculenta  
Cassava Root Mealybug,Stictococcus vayssierei,Manihot,esculenta  
Cassava scale,Aonidomytilus albus,Manihot,esculenta  
Magnesium Deficiency,Magnesium Deficiency,Manihot,esculenta  
Manganese Deficiency,Manganese Deficiency,Manihot,esculenta  
Mealybug,Pseudococcidae,Manihot,esculenta  
Pesticide Burn,Pesticide Burn,Manihot,esculenta  
Variegated Grasshopper,Zonocerus variegatus,Manihot,esculenta  
Water Deficiency,Water Deficiency,Manihot,esculenta  
White Leaf Spot,Phaeoramularia manihotis,Manihot,esculenta  
Zinc Deficiency,Zinc Deficiency,Manihot,esculenta  
African Mole Cricket,Gryllotalpa africana,Musa,paradisiaca  
Anthracnose of Banana,Colletotrichum musae,Musa,paradisiaca  
Aphid,Aphidoidea family,Musa,paradisiaca  
Bacterial Soft Rot of Banana,Pectobacterium carotovorum,Musa,paradisiaca  
Banana Bract Mosaic Virus,BBrMV,Musa,paradisiaca  
Banana Fruit-Scarring Beetle,Colaspis hypochlora,Musa,paradisiaca  
Banana Lace Wing Bug,Stephanitis typica,Musa,paradisiaca  
Banana Moth,Opogona sacchari,Musa,paradisiaca  
Banana Rust Thrips,Chaetanaphothrips signipennis,Musa,paradisiaca  
Banana Scab Moth,Nacoleia octasema,Musa,paradisiaca  
Banana Scale Insect,Aspidiotus destructor,Musa,paradisiaca  
Banana Streak Virus,Banana Streak Virus,Musa,paradisiaca  
Banana Xanthomonas Wilt,Xanthomonas musacearum,Musa,paradisiaca  
Black Leaf Spot of Banana,Deightoniella torulosa,Musa,paradisiaca  
Black Sigatoka,Mycosphaerella fijiensis,Musa,paradisiaca  
Boron Deficiency in Banana,Boron Deficiency,Musa,paradisiaca  
Bunchy Top Virus,Bunchy Top Virus,Musa,paradisiaca  
Calcium Deficiency,Calcium Deficiency,Musa,paradisiaca  
Castor Hairy Caterpillar,Pericallia ricini,Musa,paradisiaca  
Cigar End Rot,Trachysphaera fructigena,Musa,paradisiaca  
Cucumber Mosaic Virus on Banana,CMV,Musa,paradisiaca  
Cut Worm on Banana,Spodoptera litura,Musa,paradisiaca  
Downy Mildew,Peronosporales,Musa,paradisiaca  
Freckle of Banana,Phyllosticta maculata,Musa,paradisiaca  
Leaf Blotch of Banana,Cordana musae,Musa,paradisiaca  
Magnesium Deficiency,Magnesium Deficiency,Musa,paradisiaca  
Manganese Deficiency,Manganese Deficiency,Musa,paradisiaca  
Mealybug,Pseudococcidae,Musa,paradisiaca  
Moko Disease,Ralstonia solanacearum,Musa,paradisiaca  
Nematode,Nematoda,Musa,paradisiaca  
Nitrogen Deficiency,Nitrogen Deficiency,Musa,paradisiaca  
Oriental Fruit Fly,Bactrocera dorsalis,Musa,paradisiaca  
Pesticide Burn,Pesticide Burn,Musa,paradisiaca  
